zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,income_decile,poverty_decile,high_black
218,0.2337676385232851,0.0401259588671194,0.1532097264924799,-61400.844896473005,178409.5,3.0,6.0,1
219,0.063026171892354,0.0351149357838233,0.100095562777127,65780.49402848877,101265.75,10.0,2.0,0
220,0.0925251804770377,0.1601403868333603,0.0612150040485148,108952.0006506218,483984.75,10.0,1.0,0
221,0.1453256806174471,0.1744990059303376,0.0542627722167366,112816.74353144568,446882.75,10.0,1.0,0
222,0.0827486841137188,0.1516334186527326,0.0777923747548615,107710.00952441212,212226.75,10.0,1.0,0
223,0.1907528182775398,0.184057649572771,0.0767887940808113,92085.90509602876,322525.75,10.0,1.0,1
224,0.1900352326880511,0.0744527115468797,0.0858436735271849,71517.47468505931,216934.5,10.0,1.0,1
225,0.199241154655302,0.0691296708908372,0.0777781578427164,-445952.34848580696,186931.25,1.0,1.0,1
226,0.050104803054174,0.0692228407490033,0.1000516907968146,61566.66982632996,184338.5,9.0,2.0,0
227,0.1303459513015738,0.0741167404829898,0.0917235197588698,-1283532.8623273077,78108.25,1.0,2.0,0
228,0.0286929510007125,0.0845275422873919,0.1727982090647028,-152.6934659857543,164047.25,4.0,7.0,0
229,0.1189240203846244,0.0444429742492562,0.1330406495338744,7549.758544779213,253181.0,4.0,4.0,0
230,0.1910663128389032,0.0274914316218347,0.0812736795949227,-116606.46449998658,221136.5,2.0,1.0,1
231,0.1299051201961996,0.0317974371609769,0.0633995043210527,8422.76077849533,365721.75,4.0,1.0,0
