zip3,BlackConcentration,weight,direction,SES_group
164,Low,0.5009109277841265,BlackConcentration (entropy-balanced on 7 SES covariates),
167,Low,1.5593585939367955,BlackConcentration (entropy-balanced on 7 SES covariates),
169,Low,0.5241274287645409,BlackConcentration (entropy-balanced on 7 SES covariates),
170,Low,0.5038039469771375,BlackConcentration (entropy-balanced on 7 SES covariates),
173,Low,0.3529440560571533,BlackConcentration (entropy-balanced on 7 SES covariates),
175,Low,0.24370638480324994,BlackConcentration (entropy-balanced on 7 SES covariates),
182,Low,1.2258841671103602,BlackConcentration (entropy-balanced on 7 SES covariates),
186,Low,0.6911304454742189,BlackConcentration (entropy-balanced on 7 SES covariates),
188,Low,0.40067469745780154,BlackConcentration (entropy-balanced on 7 SES covariates),
189,Low,0.33453315597163774,BlackConcentration (entropy-balanced on 7 SES covariates),
195,Low,0.4479778229174852,BlackConcentration (entropy-balanced on 7 SES covariates),
250,Low,0.4670833204455333,BlackConcentration (entropy-balanced on 7 SES covariates),
252,Low,0.41430684951133023,BlackConcentration (entropy-balanced on 7 SES covariates),
255,Low,0.21158119614811438,BlackConcentration (entropy-balanced on 7 SES covariates),
260,Low,0.7888832387376581,BlackConcentration (entropy-balanced on 7 SES covariates),
261,Low,0.7163394576402621,BlackConcentration (entropy-balanced on 7 SES covariates),
262,Low,0.34087519437670666,BlackConcentration (entropy-balanced on 7 SES covariates),
263,Low,0.3242041808740547,BlackConcentration (entropy-balanced on 7 SES covariates),
264,Low,0.2616792052642991,BlackConcentration (entropy-balanced on 7 SES covariates),
266,Low,0.3807164491727991,BlackConcentration (entropy-balanced on 7 SES covariates),
267,Low,1.303420900172991,BlackConcentration (entropy-balanced on 7 SES covariates),
268,Low,0.25012176324523017,BlackConcentration (entropy-balanced on 7 SES covariates),
289,Low,0.4107988538158344,BlackConcentration (entropy-balanced on 7 SES covariates),
376,Low,0.6777214623137604,BlackConcentration (entropy-balanced on 7 SES covariates),
377,Low,1.1503502998530062,BlackConcentration (entropy-balanced on 7 SES covariates),
