representation,model,grouping,fold,group_level,bin,n,mean_pred,observed_rate
structured,Logistic,SES_group,11,High,4,202,0.4346,0.1238
structured,Logistic,SES_group,11,High,5,201,0.4879,0.1443
structured,Logistic,SES_group,11,High,6,201,0.5436,0.1891
structured,Logistic,SES_group,11,High,7,193,0.6027,0.171
structured,Logistic,SES_group,11,High,8,210,0.6704,0.281
structured,Logistic,SES_group,11,High,9,215,0.7818,0.3488
structured,Logistic,BlackConcentration,11,Low,0,159,0.1644,0.0126
structured,Logistic,BlackConcentration,11,Low,1,139,0.2608,0.036
structured,Logistic,BlackConcentration,11,Low,2,134,0.3239,0.0896
structured,Logistic,BlackConcentration,11,Low,3,136,0.3799,0.0956
structured,Logistic,BlackConcentration,11,Low,4,133,0.4386,0.0977
structured,Logistic,BlackConcentration,11,Low,5,150,0.4871,0.0933
structured,Logistic,BlackConcentration,11,Low,6,120,0.5418,0.1583
structured,Logistic,BlackConcentration,11,Low,7,139,0.5993,0.2374
structured,Logistic,BlackConcentration,11,Low,8,122,0.6639,0.2049
structured,Logistic,BlackConcentration,11,Low,9,146,0.7821,0.2329
structured,Logistic,BlackConcentration,11,High,0,339,0.168,0.0442
structured,Logistic,BlackConcentration,11,High,1,353,0.2614,0.0482
structured,Logistic,BlackConcentration,11,High,2,364,0.3267,0.0907
structured,Logistic,BlackConcentration,11,High,3,353,0.3816,0.0793
structured,Logistic,BlackConcentration,11,High,4,361,0.4363,0.1302
structured,Logistic,BlackConcentration,11,High,5,345,0.4875,0.1449
structured,Logistic,BlackConcentration,11,High,6,364,0.5417,0.1868
structured,Logistic,BlackConcentration,11,High,7,338,0.6017,0.2012
structured,Logistic,BlackConcentration,11,High,8,377,0.6698,0.2361
structured,Logistic,BlackConcentration,11,High,9,369,0.786,0.3062
structured,Logistic,SES_group,12,Low,0,552,0.1733,0.0236
structured,Logistic,SES_group,12,Low,1,519,0.2745,0.0617
structured,Logistic,SES_group,12,Low,2,495,0.3403,0.0788
structured,Logistic,SES_group,12,Low,3,459,0.3958,0.1068
structured,Logistic,SES_group,12,Low,4,463,0.4456,0.1015
structured,Logistic,SES_group,12,Low,5,485,0.4983,0.167
structured,Logistic,SES_group,12,Low,6,426,0.5486,0.1948
structured,Logistic,SES_group,12,Low,7,441,0.6063,0.22
structured,Logistic,SES_group,12,Low,8,445,0.6746,0.2584
structured,Logistic,SES_group,12,Low,9,420,0.7803,0.3167
structured,Logistic,SES_group,12,High,0,182,0.1808,0.0549
structured,Logistic,SES_group,12,High,1,250,0.2751,0.06
structured,Logistic,SES_group,12,High,2,270,0.34,0.0519
structured,Logistic,SES_group,12,High,3,271,0.3951,0.0996
structured,Logistic,SES_group,12,High,4,265,0.4469,0.1472
structured,Logistic,SES_group,12,High,5,245,0.4973,0.1265
structured,Logistic,SES_group,12,High,6,272,0.55,0.2059
structured,Logistic,SES_group,12,High,7,309,0.6055,0.233
structured,Logistic,SES_group,12,High,8,262,0.6737,0.2863
structured,Logistic,SES_group,12,High,9,282,0.7751,0.3759
structured,Logistic,BlackConcentration,12,Low,0,205,0.1781,0.0244
structured,Logistic,BlackConcentration,12,Low,1,189,0.2722,0.0582
structured,Logistic,BlackConcentration,12,Low,2,181,0.3417,0.0773
structured,Logistic,BlackConcentration,12,Low,3,167,0.3935,0.0838
