model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,SES_group,AUC,tfidf_full - structured,14,0.0004,-0.0011,-0.0015,
Logistic,SES_group,TPR,finbert_pca50 - structured,1,0.0432,,-0.0263,0.0169
Logistic,SES_group,TPR,finbert_pca50 - structured,2,-0.0211,,-0.0192,-0.0403
Logistic,SES_group,TPR,finbert_pca50 - structured,3,-0.0119,,0.0108,-0.0011
Logistic,SES_group,TPR,finbert_pca50 - structured,4,0.2032,,-0.0542,0.149
Logistic,SES_group,TPR,finbert_pca50 - structured,5,0.0333,,0.0233,0.0566
Logistic,SES_group,TPR,finbert_pca50 - structured,6,0.0086,,-0.0479,-0.0393
Logistic,SES_group,TPR,finbert_pca50 - structured,7,0.124,,0.044,0.168
Logistic,SES_group,TPR,finbert_pca50 - structured,8,0.0647,,-0.0062,0.0585
Logistic,SES_group,TPR,finbert_pca50 - structured,9,0.0191,,0.0346,0.0537
Logistic,SES_group,TPR,finbert_pca50 - structured,10,0.0495,,0.0251,0.0746
Logistic,SES_group,TPR,finbert_pca50 - structured,11,0.0666,,0.0296,0.0962
Logistic,SES_group,TPR,finbert_pca50 - structured,12,0.0516,,0.0009,0.0525
Logistic,SES_group,TPR,finbert_pca50 - structured,13,0.0786,,0.0031,0.0817
Logistic,SES_group,TPR,finbert_pca50 - structured,14,0.0471,,-0.0109,0.0362
Logistic,SES_group,FPR,finbert_pca50 - structured,1,0.0328,,-0.0201,0.0127
Logistic,SES_group,FPR,finbert_pca50 - structured,2,0.089,,-0.0192,0.0698
Logistic,SES_group,FPR,finbert_pca50 - structured,3,0.1319,,-0.0434,0.0885
Logistic,SES_group,FPR,finbert_pca50 - structured,4,-0.0069,,-0.0134,-0.0203
Logistic,SES_group,FPR,finbert_pca50 - structured,5,0.0762,,0.0134,0.0896
Logistic,SES_group,FPR,finbert_pca50 - structured,6,0.0876,,-0.0248,0.0628
Logistic,SES_group,FPR,finbert_pca50 - structured,7,0.0488,,0.0019,0.0507
Logistic,SES_group,FPR,finbert_pca50 - structured,8,0.0344,,-0.007,0.0274
Logistic,SES_group,FPR,finbert_pca50 - structured,9,0.078,,0.0193,0.0973
Logistic,SES_group,FPR,finbert_pca50 - structured,10,0.0714,,-0.0121,0.0593
Logistic,SES_group,FPR,finbert_pca50 - structured,11,0.0577,,0.0057,0.0634
Logistic,SES_group,FPR,finbert_pca50 - structured,12,0.0435,,0.006,0.0495
Logistic,SES_group,FPR,finbert_pca50 - structured,13,0.0598,,-0.0086,0.0512
Logistic,SES_group,FPR,finbert_pca50 - structured,14,0.0453,,0.0035,0.0488
Logistic,SES_group,PPR,finbert_pca50 - structured,1,0.039,,-0.0207,0.0183
Logistic,SES_group,PPR,finbert_pca50 - structured,2,0.0891,,-0.0175,0.0716
Logistic,SES_group,PPR,finbert_pca50 - structured,3,0.1391,,-0.0393,0.0998
Logistic,SES_group,PPR,finbert_pca50 - structured,4,0.0242,,-0.019,0.0052
Logistic,SES_group,PPR,finbert_pca50 - structured,5,0.0697,,0.0148,0.0845
Logistic,SES_group,PPR,finbert_pca50 - structured,6,0.0784,,-0.0289,0.0495
Logistic,SES_group,PPR,finbert_pca50 - structured,7,0.0683,,0.0081,0.0764
Logistic,SES_group,PPR,finbert_pca50 - structured,8,0.0433,,-0.0067,0.0366
Logistic,SES_group,PPR,finbert_pca50 - structured,9,0.0734,,0.0217,0.0951
Logistic,SES_group,PPR,finbert_pca50 - structured,10,0.0729,,-0.0067,0.0662
Logistic,SES_group,PPR,finbert_pca50 - structured,11,0.0633,,0.0095,0.0728
Logistic,SES_group,PPR,finbert_pca50 - structured,12,0.0522,,0.0054,0.0576
Logistic,SES_group,PPR,finbert_pca50 - structured,13,0.0687,,-0.0067,0.062
Logistic,SES_group,PPR,finbert_pca50 - structured,14,0.0492,,0.0013,0.0505
Logistic,SES_group,AUC,finbert_pca50 - structured,1,-0.0113,,-0.0185,-0.0298
Logistic,SES_group,AUC,finbert_pca50 - structured,2,-0.0831,,-0.0052,-0.0883
Logistic,SES_group,AUC,finbert_pca50 - structured,3,-0.0955,,0.0081,-0.0874
Logistic,SES_group,AUC,finbert_pca50 - structured,4,0.1168,,-0.0041,0.1127
Logistic,SES_group,AUC,finbert_pca50 - structured,5,-0.0172,,-0.0038,-0.021
Logistic,SES_group,AUC,finbert_pca50 - structured,6,-0.0899,,0.0034,-0.0865
Logistic,SES_group,AUC,finbert_pca50 - structured,7,0.0343,,0.01,0.0443
Logistic,SES_group,AUC,finbert_pca50 - structured,8,0.0325,,0.0122,0.0447
Logistic,SES_group,AUC,finbert_pca50 - structured,9,-0.024,,-0.0069,-0.0309
Logistic,SES_group,AUC,finbert_pca50 - structured,10,-0.0046,,0.0028,-0.0018
Logistic,SES_group,AUC,finbert_pca50 - structured,11,0.0199,,0.0005,0.0204
Logistic,SES_group,AUC,finbert_pca50 - structured,12,0.0042,,-0.0045,-0.0003
Logistic,SES_group,AUC,finbert_pca50 - structured,13,0.0239,,-0.0023,0.0216
Logistic,SES_group,AUC,finbert_pca50 - structured,14,0.0004,,-0.0044,-0.004
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,1,,0.0256,-0.0087,0.0169
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,2,,-0.0211,-0.0192,-0.0403
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,3,,-0.0792,0.0781,-0.0011
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,4,,0.2029,-0.0539,0.149
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,5,,0.0184,0.0382,0.0566
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,6,,-0.0145,-0.0248,-0.0393
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,7,,0.1711,-0.0031,0.168
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,8,,0.0362,0.0223,0.0585
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,9,,0.0619,-0.0082,0.0537
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,10,,0.0671,0.0075,0.0746
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,11,,0.1035,-0.0073,0.0962
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,12,,0.0598,-0.0073,0.0525
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,13,,0.094,-0.0123,0.0817
