Term,Type,Document_Frequency,Distress
rebuild,Unigram,321,0
combine credit,Bigram,319,0
rate payment,Bigram,319,0
unexpected expense,Bigram,319,0
community,Unigram,318,0
hire,Unigram,318,0
multiple payment,Bigram,317,0
payment currently,Bigram,317,0
money help,Bigram,316,0
qualify,Unigram,316,0
feel like,Bigram,314,0
just make,Bigram,314,0
low monthly,Bigram,314,0
min,Unigram,314,0
need replace,Bigram,314,0
retail,Unigram,314,0
start business,Bigram,314,0
concern,Unigram,313,0
consolidation lower,Bigram,313,0
home need,Bigram,313,0
mom,Unigram,313,0
payment like,Bigram,313,0
remove,Unigram,313,0
share,Unigram,313,0
thousand,Unigram,313,0
eventually,Unigram,312,0
nurse,Unigram,312,0
payment card,Bigram,312,0
positive,Unigram,312,0
unable,Unigram,312,0
card amp,Bigram,311,0
currently work,Bigram,311,0
fiance,Unigram,311,0
reach goal,Bigram,311,0
total monthly,Bigram,311,0
comfortable,Unigram,310,0
improvement project,Bigram,310,0
multiple credit,Bigram,310,0
need fund,Bigram,310,0
year current,Bigram,310,0
guarantee,Unigram,309,0
age,Unigram,308,0
decent,Unigram,308,0
low rate,Bigram,308,0
percent,Unigram,308,0
make late,Bigram,307,0
online,Unigram,307,0
achieve goal,Bigram,306,0
construction,Unigram,306,0
growth,Unigram,306,0
increase credit,Bigram,306,0
stable income,Bigram,306,0
basically,Unigram,305,0
gross,Unigram,305,0
land,Unigram,305,0
promote,Unigram,305,0
verify,Unigram,305,0
make money,Bigram,304,0
currently credit,Bigram,303,0
install,Unigram,303,0
space,Unigram,303,0
structure,Unigram,303,0
thank support,Bigram,303,0
world,Unigram,303,0
engagement,Unigram,302,0
gain,Unigram,302,0
graduate school,Bigram,302,0
month ago,Bigram,302,0
steady income,Bigram,302,0
successfully,Unigram,302,0
condo,Unigram,301,0
dental work,Bigram,301,0
use lend,Bigram,301,0
good time,Bigram,300,0
accept,Unigram,299,0
contractor,Unigram,299,0
ease,Unigram,299,0
figure,Unigram,299,0
lower credit,Bigram,299,0
rat high,Bigram,299,0
amex,Unigram,298,0
help save,Bigram,298,0
july,Unigram,298,0
kind,Unigram,298,0
wonderful,Unigram,298,0
year want,Bigram,298,0
highest,Unigram,297,0
immediately,Unigram,297,0
associate,Unigram,296,0
just like,Bigram,296,0
promise,Unigram,296,0
usually,Unigram,296,0
basis,Unigram,295,0
inventory,Unigram,294,0
reduce credit,Bigram,294,0
card order,Bigram,293,0
current payment,Bigram,293,0
long run,Bigram,293,0
