zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,poverty_decile,income_decile
120,0.021253790857291774,0.04196860965128775,0.08838370956878823,64375.19834288134,329429.75,2.0,9.0
121,0.04232437749786405,0.0382280243846162,0.11124095236705055,60754.623276637605,282330.75,3.0,8.0
122,0.20733339437046786,0.06686385567200648,0.1721281684800747,52418.28498873857,151891.0,7.0,7.0
123,0.08973953033515958,0.057811632412933245,0.1155653219788353,59521.30217147309,162174.5,3.0,8.0
124,0.0475077710134027,0.07582096088548346,0.12285250058286634,53866.17024353983,153945.0,4.0,7.0
125,0.07420461373045395,0.13096595985756174,0.09274627532502094,71180.90558350048,448373.25,2.0,9.0
126,0.17868406442060192,0.1297641983371853,0.13767662855372495,60237.17750006207,87043.75,5.0,8.0
127,0.07215183995121242,0.127256789366469,0.16253661419658244,47801.878878991636,98540.75,7.0,5.0
128,0.017499783088394224,0.021122095309143125,0.1000856923250411,56991.309628917414,224891.25,2.0,8.0
129,0.044736770151791276,0.0289626033044551,0.13108357858755032,48911.55414540594,164133.25,4.0,5.0
130,0.021628846808752326,0.0220280169265288,0.09609290093646995,59121.76230841884,385705.25,2.0,8.0
131,0.013655662596089024,0.02268981597455725,0.11416936128345537,57744.48945079841,180835.0,3.0,8.0
132,0.19108705696554143,0.06048814106641415,0.22394708284437023,41527.9093396996,229536.0,10.0,2.0
133,0.0111569335061826,0.01559463035717185,0.13143414427320235,48947.330625943825,143500.0,4.0,5.0
134,0.024709672719476074,0.028277328361511523,0.11431025705843127,52030.193023341555,186168.5,3.0,7.0
135,0.11701221768962596,0.09082519620261788,0.2568040735128264,34942.02165808167,71335.0,10.0,1.0
136,0.033848125794833074,0.039297693362391424,0.15722562030880238,45613.85660350545,237488.5,6.0,4.0
137,0.020835380879018525,0.024664532924788048,0.12676530631204527,49402.44756277316,138091.0,4.0,6.0
138,0.0144644158040277,0.0249452403012119,0.1270899558970921,48945.15906276967,139371.5,4.0,5.0
139,0.07401312109466116,0.04859963268808508,0.21970505662247813,39378.47801800505,81611.25,10.0,2.0
140,0.0251612715942357,0.0313832085390266,0.08705710800122665,60612.32137576064,445524.75,2.0,8.0
141,0.013933464356583774,0.021792885961484702,0.09090714150753347,56238.85913153278,199344.0,2.0,8.0
142,0.20087360307502763,0.06200805132467905,0.1886036157471137,44245.14767419915,564293.75,9.0,3.0
143,0.17511982876515125,0.023774604178906776,0.2007084362647831,37162.72802755749,65969.0,9.0,1.0
144,0.02878317083632825,0.031732304584099626,0.09812835542596934,58632.925189593334,305122.75,2.0,8.0
145,0.025741303827957876,0.027799179460983148,0.08659188333798754,65653.55958557736,320816.5,1.0,9.0
146,0.21103123363851173,0.10067663058594399,0.18485580163907334,45836.98229870171,477689.25,8.0,4.0
147,0.017429753628304276,0.0307406696692578,0.173481606385167,42336.247371917394,178837.0,8.0,3.0
148,0.02430323621323055,0.025837227888598976,0.14905930973530956,49100.70428226459,285162.0,6.0,6.0
149,0.08839663583533727,0.03215103792709665,0.20431471221727024,39682.33895395043,49165.75,9.0,2.0
150,0.048138335372684776,0.0122009032398048,0.1088540856310377,54292.23024465823,446719.5,3.0,7.0
151,0.10783233176357895,0.013562958308074325,0.11481204392302417,53367.52303257667,368131.5,3.0,7.0
152,0.16358200104459694,0.01903330609718115,0.14049120769046436,50529.15965311414,687517.0,5.0,6.0
153,0.03406065196360543,0.01171988755094775,0.09725249352492127,56130.9212489436,184292.25,2.0,8.0
