Feature,n_folds_selected,mean_rank_when_selected,mean_importance_share,mean_chi2_score,Model,pct_folds_selected
txt:plan personal,2,384.0,0.0,2.59,XGBoost,14.3
txt:planning payoff,2,384.0,0.0,2.52,XGBoost,14.3
txt:consolidation omni,2,384.5,0.0,4.84,XGBoost,14.3
txt:consolidation start,2,384.5,0.0,3.52,XGBoost,14.3
txt:consolidation sra,2,385.5,0.0,3.93,XGBoost,14.3
txt:consolidation heart,2,386.0,0.0,5.58,XGBoost,14.3
txt:consolidation southwestern,2,386.5,0.0,3.92,XGBoost,14.3
txt:rent center,2,387.0,0.0,2.64,XGBoost,14.3
txt:ranger,2,387.5,0.0,1.72,XGBoost,14.3
txt:debt asap,2,388.5,0.0,1.42,XGBoost,14.3
txt:debt add,2,389.0,0.0,1.23,XGBoost,14.3
txt:consolidation laurel,2,390.5,0.0,5.73,XGBoost,14.3
txt:consolidation mattress,2,390.5,0.0,4.38,XGBoost,14.3
txt:paid ontime,2,390.5,0.0,1.79,XGBoost,14.3
txt:reason able,2,390.5,0.0,1.98,XGBoost,14.3
txt:consolidation pratt,2,391.0,0.0,4.76,XGBoost,14.3
txt:development company,2,391.0,0.0,1.4,XGBoost,14.3
txt:obligation current,2,391.5,0.0,3.33,XGBoost,14.3
txt:crowne plaza,2,392.5,0.0,3.79,XGBoost,14.3
txt:dedication,2,393.5,0.0,1.03,XGBoost,14.3
txt:metro north,2,394.0,0.0015,4.85,XGBoost,14.3
txt:nan,2,394.5,0.0017,1.08,XGBoost,14.3
txt:consolidation hallmark,2,395.0,0.0,3.18,XGBoost,14.3
txt:nephew,2,395.0,0.0,3.3,XGBoost,14.3
txt:new look,2,395.0,0.0,2.1,XGBoost,14.3
txt:rate fair,2,395.0,0.0,2.74,XGBoost,14.3
txt:consolidation moog,2,396.0,0.0,6.81,XGBoost,14.3
txt:debit late,2,396.5,0.0,2.29,XGBoost,14.3
txt:creditor credit,2,397.0,0.0,2.22,XGBoost,14.3
txt:consolidation infosys,2,397.5,0.0,4.1,XGBoost,14.3
txt:month compared,2,397.5,0.0,2.64,XGBoost,14.3
txt:debt consolidator,2,399.0,0.0,3.37,XGBoost,14.3
txt:consolidation peter,2,401.0,0.0,3.06,XGBoost,14.3
txt:consolidation astoria,2,402.5,0.0,4.36,XGBoost,14.3
txt:costco,2,403.0,0.0,1.88,XGBoost,14.3
txt:currently going,2,404.0,0.0,2.51,XGBoost,14.3
txt:coordinator,2,404.5,0.0,1.41,XGBoost,14.3
txt:consolidation class,2,405.0,0.0,10.47,XGBoost,14.3
txt:overwhelmed,2,405.0,0.0,1.92,XGBoost,14.3
txt:consolidation grace,2,405.5,0.0,3.97,XGBoost,14.3
txt:cook,2,405.5,0.0,2.47,XGBoost,14.3
txt:price range,2,405.5,0.0,2.35,XGBoost,14.3
txt:payment medical,2,407.0,0.0,1.71,XGBoost,14.3
txt:consolidation cracker,2,407.5,0.0,9.05,XGBoost,14.3
txt:consolidation eaton,2,408.5,0.0,3.55,XGBoost,14.3
txt:consolidation eye,2,410.5,0.0,4.44,XGBoost,14.3
txt:payment feel,2,411.0,0.0,1.37,XGBoost,14.3
txt:consolidation cbre,2,412.0,0.0,3.8,XGBoost,14.3
txt:year emergency,2,412.0,0.0,2.58,XGBoost,14.3
txt:utilizing money,2,412.5,0.0,3.27,XGBoost,14.3
txt:occur,2,413.0,0.0,1.13,XGBoost,14.3
txt:legion,2,414.0,0.0,7.12,XGBoost,14.3
txt:linen,2,414.0,0.0,2.97,XGBoost,14.3
txt:consolidation aim,2,415.5,0.0,4.52,XGBoost,14.3
txt:omni,2,415.5,0.0009,2.7,XGBoost,14.3
txt:payment creditor,2,415.5,0.0,1.05,XGBoost,14.3
txt:consolidation certified,2,416.5,0.0,3.11,XGBoost,14.3
txt:consolidation ferguson,2,416.5,0.0,4.67,XGBoost,14.3
txt:consolidation sport,2,416.5,0.0,2.54,XGBoost,14.3
txt:consolidation paid,2,418.0,0.0,1.76,XGBoost,14.3
txt:consolidation san,2,418.0,0.0,2.1,XGBoost,14.3
txt:company different,2,419.0,0.0,3.63,XGBoost,14.3
txt:consoladition,2,419.0,0.0,3.38,XGBoost,14.3
txt:consolidat debt,2,419.0,0.0,5.62,XGBoost,14.3
txt:oppurtunity,2,419.5,0.0,2.17,XGBoost,14.3
txt:requesting funding,2,419.5,0.0,2.16,XGBoost,14.3
txt:score goal,2,420.5,0.0,2.77,XGBoost,14.3
txt:confidential,2,421.5,0.0,2.97,XGBoost,14.3
txt:year god,2,422.0,0.0009,2.03,XGBoost,14.3
txt:improvment home,2,422.5,0.0,3.92,XGBoost,14.3
txt:instead monthly,2,422.5,0.0,4.66,XGBoost,14.3
txt:kenneth,2,422.5,0.0,3.74,XGBoost,14.3
txt:utilites,2,422.5,0.0,2.45,XGBoost,14.3
txt:medical tax,2,423.0,0.0,2.74,XGBoost,14.3
txt:year major,2,423.5,0.0,1.72,XGBoost,14.3
txt:consist,2,424.5,0.0,0.94,XGBoost,14.3
txt:waste management,2,425.0,0.0,2.92,XGBoost,14.3
txt:year feb,2,427.5,0.0,2.52,XGBoost,14.3
txt:city fort,2,428.5,0.0,2.91,XGBoost,14.3
txt:cobham,2,428.5,0.0,4.1,XGBoost,14.3
txt:mailer,2,428.5,0.0,4.83,XGBoost,14.3
txt:majestic,2,428.5,0.0,4.23,XGBoost,14.3
txt:walked,2,429.0,0.0,1.91,XGBoost,14.3
txt:personal use,2,429.5,0.0,1.36,XGBoost,14.3
txt:combustion,2,430.0,0.0,10.91,XGBoost,14.3
txt:consolidation citizen,2,430.5,0.0,2.12,XGBoost,14.3
txt:pay capital,2,431.5,0.0,2.69,XGBoost,14.3
txt:parish school,2,432.0,0.0,2.19,XGBoost,14.3
txt:past mistake,2,432.0,0.0,2.17,XGBoost,14.3
txt:consolidation child,2,433.0,0.0,4.24,XGBoost,14.3
txt:company long,2,434.0,0.0,1.52,XGBoost,14.3
txt:marino,2,434.0,0.0,5.02,XGBoost,14.3
txt:casting,2,434.5,0.0,2.52,XGBoost,14.3
txt:city police,2,436.5,0.0,1.55,XGBoost,14.3
txt:lotus,2,436.5,0.0,3.61,XGBoost,14.3
txt:tire service,2,436.5,0.0,4.5,XGBoost,14.3
txt:ccc,2,437.0,0.0,2.37,XGBoost,14.3
txt:perform,2,437.5,0.0,1.36,XGBoost,14.3
txt:samaritan,2,437.5,0.0,2.8,XGBoost,14.3
txt:school consolidate,2,438.0,0.0,1.83,XGBoost,14.3
txt:college help,2,439.0,0.0,1.03,XGBoost,14.3
txt:career year,2,440.0,0.0,1.0,XGBoost,14.3
txt:climb,2,440.5,0.0,2.03,XGBoost,14.3
txt:linden,2,441.0,0.0,4.2,XGBoost,14.3
txt:work got,2,441.5,0.0,2.78,XGBoost,14.3
txt:philippine,2,443.0,0.0,1.52,XGBoost,14.3
txt:mckesson medical,2,443.5,0.0,4.04,XGBoost,14.3
txt:cent store,2,444.0,0.0,7.31,XGBoost,14.3
txt:rest debt,2,444.5,0.0,2.18,XGBoost,14.3
txt:cfbisd,2,445.5,0.0,3.73,XGBoost,14.3
txt:card look,2,446.0,0.0,2.2,XGBoost,14.3
txt:physician,2,446.5,0.0,0.85,XGBoost,14.3
txt:cash thing,2,447.0,0.0,2.18,XGBoost,14.3
txt:card food,2,448.0,0.0,3.3,XGBoost,14.3
txt:card peace,2,449.0,0.0,3.5,XGBoost,14.3
txt:chesapeake,2,449.0,0.0,2.77,XGBoost,14.3
txt:callaway golf,2,450.0,0.0,8.17,XGBoost,14.3
txt:computer service,2,450.0,0.0,2.02,XGBoost,14.3
txt:microchip,2,450.5,0.0,4.37,XGBoost,14.3
txt:programmer,2,450.5,0.0,1.21,XGBoost,14.3
txt:personal international,2,451.0,0.0,3.77,XGBoost,14.3
txt:looking fix,2,451.5,0.0,3.73,XGBoost,14.3
txt:category,2,452.0,0.0,1.63,XGBoost,14.3
txt:phelan,2,452.0,0.0,6.01,XGBoost,14.3
txt:payoff verizon,2,453.5,0.0,4.76,XGBoost,14.3
txt:pizzeria,2,453.5,0.0,5.15,XGBoost,14.3
txt:carriage house,2,454.0,0.0,3.86,XGBoost,14.3
txt:closer work,2,454.0,0.0,2.15,XGBoost,14.3
txt:laurel,2,454.0,0.0,4.83,XGBoost,14.3
txt:workforce,2,454.5,0.0,2.22,XGBoost,14.3
txt:carrying debt,2,455.0,0.0,2.09,XGBoost,14.3
txt:buy year,2,455.5,0.0,2.97,XGBoost,14.3
txt:ray,2,455.5,0.0,1.86,XGBoost,14.3
txt:really year,2,456.5,0.0,1.51,XGBoost,14.3
txt:personal better,2,459.0,0.0,2.87,XGBoost,14.3
txt:buisness,2,459.5,0.0,3.01,XGBoost,14.3
txt:card allied,2,460.0,0.0,2.11,XGBoost,14.3
txt:caremark,2,460.0,0.0,2.52,XGBoost,14.3
txt:business line,2,460.5,0.0,2.81,XGBoost,14.3
txt:card moving,2,461.0,0.0,2.59,XGBoost,14.3
txt:lubricant,2,461.0,0.0,4.75,XGBoost,14.3
txt:business future,2,461.5,0.0,6.65,XGBoost,14.3
txt:car refinance,2,461.5,0.0,1.5,XGBoost,14.3
txt:machine llc,2,462.0,0.0,3.92,XGBoost,14.3
txt:card foot,2,463.5,0.0,3.42,XGBoost,14.3
txt:newell,2,464.0,0.0,2.38,XGBoost,14.3
txt:buffet,2,464.5,0.0,3.84,XGBoost,14.3
txt:boro,2,465.0,0.0,4.1,XGBoost,14.3
txt:card walmart,2,465.5,0.0,4.39,XGBoost,14.3
txt:life medical,2,466.0,0.0,3.19,XGBoost,14.3
txt:mgt,2,466.5,0.0,3.48,XGBoost,14.3
txt:norwalk,2,466.5,0.0,2.11,XGBoost,14.3
txt:panther,2,467.0,0.0,2.7,XGBoost,14.3
txt:year payoff,2,467.0,0.0,1.58,XGBoost,14.3
txt:builder,2,467.5,0.0,2.5,XGBoost,14.3
txt:bubba,2,468.0,0.0,3.87,XGBoost,14.3
txt:california state,2,469.0,0.0,1.73,XGBoost,14.3
txt:branch manager,2,470.0,0.0,1.23,XGBoost,14.3
txt:capital visa,2,470.0,0.0,1.84,XGBoost,14.3
txt:car getting,2,470.0,0.0,2.07,XGBoost,14.3
txt:relocation expense,2,470.0,0.0,1.59,XGBoost,14.3
txt:cape cod,2,470.5,0.0,1.82,XGBoost,14.3
txt:nursing service,2,471.0,0.0,1.98,XGBoost,14.3
txt:required debt,2,471.5,0.0,2.85,XGBoost,14.3
txt:ymca,2,472.0,0.0,1.63,XGBoost,14.3
txt:personal help,2,473.0,0.0,2.88,XGBoost,14.3
txt:red,2,473.0,0.0,1.21,XGBoost,14.3
txt:save paid,2,473.0,0.0,2.09,XGBoost,14.3
txt:bus line,2,473.5,0.0,6.7,XGBoost,14.3
txt:williams,2,474.0,0.0,1.24,XGBoost,14.3
txt:pay apply,2,474.5,0.0,3.15,XGBoost,14.3
txt:shared service,2,474.5,0.0,2.59,XGBoost,14.3
txt:biils,2,476.0,0.0,4.32,XGBoost,14.3
txt:ruining,2,476.0,0.0,2.07,XGBoost,14.3
txt:sensor,2,476.0,0.0,3.34,XGBoost,14.3
txt:stopped,2,476.0,0.0,1.29,XGBoost,14.3
txt:cancelled debt,2,476.5,0.0,2.85,XGBoost,14.3
txt:strategic,2,476.5,0.0,1.15,XGBoost,14.3
txt:cabrini hospital,2,477.0,0.0,4.4,XGBoost,14.3
txt:request funded,2,477.5,0.0,1.35,XGBoost,14.3
txt:boy girl,2,478.0,0.0,1.97,XGBoost,14.3
txt:upstairs,2,479.0,0.0,1.28,XGBoost,14.3
txt:behavioral,2,482.0,0.0,2.29,XGBoost,14.3
txt:benihana,2,482.5,0.0,3.81,XGBoost,14.3
txt:union job,2,483.0,0.0,1.95,XGBoost,14.3
txt:bidding,2,484.0,0.0,1.03,XGBoost,14.3
txt:stable problem,2,484.5,0.0,1.54,XGBoost,14.3
txt:best wish,2,485.0,0.0,2.9,XGBoost,14.3
txt:baystate health,2,486.5,0.0,4.45,XGBoost,14.3
txt:belong,2,486.5,0.0,1.14,XGBoost,14.3
txt:better future,2,486.5,0.0,1.89,XGBoost,14.3
txt:use consolidation,2,487.0,0.0,3.39,XGBoost,14.3
txt:roll,2,487.5,0.0,1.79,XGBoost,14.3
txt:visa balance,2,488.5,0.0,1.72,XGBoost,14.3
txt:brevard county,2,489.0,0.0,3.88,XGBoost,14.3
txt:planning consolidate,2,490.0,0.0,2.15,XGBoost,14.3
txt:arena,2,490.5,0.0,2.53,XGBoost,14.3
txt:mta nyct,2,490.5,0.0,6.67,XGBoost,14.3
txt:shaw group,2,490.5,0.0,2.17,XGBoost,14.3
txt:break,2,491.5,0.0,2.17,XGBoost,14.3
txt:army debt,2,493.5,0.0,2.74,XGBoost,14.3
txt:audio,2,494.0,0.0,2.14,XGBoost,14.3
txt:baseball,2,494.0,0.0,2.79,XGBoost,14.3
txt:nco financial,2,494.0,0.0,4.51,XGBoost,14.3
txt:account close,2,495.0,0.0,1.5,XGBoost,14.3
txt:pay house,2,495.0,0.0,1.47,XGBoost,14.3
txt:reade,2,495.5,0.0,3.97,XGBoost,14.3
txt:repair family,2,495.5,0.0,1.38,XGBoost,14.3
txt:receive help,2,497.0,0.0,3.92,XGBoost,14.3
txt:aircraft,2,497.5,0.0,1.52,XGBoost,14.3
txt:repayment history,2,497.5,0.0,1.2,XGBoost,14.3
txt:amy,2,498.0,0.0,1.31,XGBoost,14.3
txt:redondo,2,499.5,0.0,3.95,XGBoost,14.3
txt:appreciate investing,2,500.0,0.0,2.14,XGBoost,14.3
txt:arbor,2,500.0,0.0,2.72,XGBoost,14.3
txt:pain,2,501.5,0.0,1.48,XGBoost,14.3
txt:monthly utility,2,502.0,0.0,1.97,XGBoost,14.3
txt:staffing,2,502.0,0.0,1.15,XGBoost,14.3
txt:amp line,2,503.0,0.0,2.68,XGBoost,14.3
txt:ala,2,503.5,0.0,4.29,XGBoost,14.3
txt:monthly cheaper,2,503.5,0.0,5.89,XGBoost,14.3
txt:alcoa fastening,2,504.5,0.0,7.09,XGBoost,14.3
txt:sum debt,2,504.5,0.0,4.99,XGBoost,14.3
txt:ambulance service,2,507.0,0.0,2.8,XGBoost,14.3
txt:multiple high,2,507.0,0.0,2.69,XGBoost,14.3
txt:pay sears,2,507.0,0.0,3.84,XGBoost,14.3
txt:spot,2,508.0,0.0,1.7,XGBoost,14.3
txt:assistance advance,2,510.0,0.0,5.33,XGBoost,14.3
txt:stony brook,2,510.5,0.0,3.91,XGBoost,14.3
txt:pristine,2,511.5,0.0,4.4,XGBoost,14.3
txt:pastry,2,512.0,0.0,4.21,XGBoost,14.3
txt:able investor,2,513.0,0.0,2.83,XGBoost,14.3
txt:paybills,2,513.0,0.0,4.9,XGBoost,14.3
txt:needed debt,2,513.5,0.0,2.36,XGBoost,14.3
txt:terrace,2,513.5,0.0,2.65,XGBoost,14.3
txt:accumalated,2,516.0,0.0,1.86,XGBoost,14.3
txt:alpha,2,516.0,0.0,2.87,XGBoost,14.3
txt:trident,2,516.0,0.0,4.81,XGBoost,14.3
txt:rug,2,518.5,0.0,4.3,XGBoost,14.3
txt:transportion,2,520.5,0.0,3.08,XGBoost,14.3
txt:new heating,2,521.0,0.0,1.44,XGBoost,14.3
txt:unwanted,2,524.5,0.0,2.94,XGBoost,14.3
txt:refinancing washington,2,527.5,0.0,3.83,XGBoost,14.3
txt:situation debt,2,528.0,0.0,2.87,XGBoost,14.3
txt:able breath,2,529.0,0.0,3.99,XGBoost,14.3
txt:sate,2,529.0,0.0,6.32,XGBoost,14.3
txt:shelter,2,529.0,0.0,1.6,XGBoost,14.3
txt:new place,2,530.5,0.0,1.63,XGBoost,14.3
txt:responsive,2,530.5,0.0,5.08,XGBoost,14.3
txt:scana,2,531.0,0.0,5.14,XGBoost,14.3
txt:net worth,2,531.5,0.0,1.35,XGBoost,14.3
txt:richemont,2,538.5,0.0,4.11,XGBoost,14.3
txt:putting new,2,541.0,0.0,3.13,XGBoost,14.3
txt:stryker,2,541.0,0.0,2.93,XGBoost,14.3
txt:personal fargo,2,541.5,0.0,2.86,XGBoost,14.3
txt:renting home,2,544.0,0.0,4.59,XGBoost,14.3
txt:payoff macys,2,544.5,0.0,2.86,XGBoost,14.3
txt:year know,2,544.5,0.0,1.36,XGBoost,14.3
txt:seterus,2,548.5,0.0,7.84,XGBoost,14.3
txt:rehabilitation hospital,2,549.5,0.0,4.49,XGBoost,14.3
txt:shepherd,2,550.5,0.0,4.48,XGBoost,14.3
txt:preservation,2,551.5,0.0,3.1,XGBoost,14.3
txt:survive,2,553.0,0.0,1.51,XGBoost,14.3
txt:platinum card,2,557.0,0.0,2.83,XGBoost,14.3
txt:repair personal,2,560.5,0.0,2.93,XGBoost,14.3
txt:room consolidation,2,561.0,0.0,3.24,XGBoost,14.3
txt:simpler payment,2,563.5,0.0,6.15,XGBoost,14.3
txt:union bank,2,564.0,0.0,2.31,XGBoost,14.3
txt:sch,2,565.0,0.0,4.33,XGBoost,14.3
txt:truckload,2,570.0,0.0,6.75,XGBoost,14.3
txt:report payment,2,574.5,0.0,4.01,XGBoost,14.3
txt:solver,2,579.5,0.0,6.76,XGBoost,14.3
txt:sorta,2,581.0,0.0,4.02,XGBoost,14.3
txt:thankful help,2,581.5,0.0,2.63,XGBoost,14.3
txt:sponsor,2,583.0,0.0,3.87,XGBoost,14.3
txt:talent,2,585.0,0.0,3.35,XGBoost,14.3
txt:stay hotel,2,590.0,0.0,5.36,XGBoost,14.3
txt:untill,2,591.5,0.0,2.24,XGBoost,14.3
txt:stillwater,2,592.0,0.0,4.62,XGBoost,14.3
txt:using lower,2,594.0,0.0,1.64,XGBoost,14.3
txt:usmc,2,594.0,0.0,2.11,XGBoost,14.3
txt:terminix,2,594.5,0.0,6.13,XGBoost,14.3
txt:murray,2,597.5,0.0,2.84,XGBoost,14.3
txt:simi,2,599.0,0.0,3.76,XGBoost,14.3
txt:spotlight,2,600.0,0.0,4.68,XGBoost,14.3
txt:year union,2,611.5,0.0,2.14,XGBoost,14.3
txt:way home,2,612.5,0.0,3.02,XGBoost,14.3
txt:wildwood,2,615.0,0.0,7.13,XGBoost,14.3
txt:working law,2,617.5,0.0,2.43,XGBoost,14.3
txt:solving,2,618.0,0.0,3.14,XGBoost,14.3
txt:strongly,1,7.0,0.0063,0.96,XGBoost,7.1
txt:card balance,1,14.0,0.006,0.71,XGBoost,7.1
txt:tax,1,17.0,0.0058,1.17,XGBoost,7.1
txt:thing,1,23.0,0.0055,0.92,XGBoost,7.1
txt:learned,1,26.0,0.0055,0.7,XGBoost,7.1
txt:martin,1,28.0,0.0053,2.93,XGBoost,7.1
txt:federal government,1,32.0,0.0047,3.67,XGBoost,7.1
txt:job year,1,33.0,0.0053,0.89,XGBoost,7.1
txt:moving,1,34.0,0.0054,1.1,XGBoost,7.1
txt:score,1,37.0,0.0053,0.74,XGBoost,7.1
txt:ease,1,38.0,0.0055,2.43,XGBoost,7.1
txt:driver,1,39.0,0.0039,5.57,XGBoost,7.1
txt:home,1,39.0,0.0053,1.14,XGBoost,7.1
txt:use help,1,40.0,0.0054,2.93,XGBoost,7.1
txt:debt payoff,1,41.0,0.0054,1.65,XGBoost,7.1
txt:apr year,1,42.0,0.0051,1.74,XGBoost,7.1
txt:associate,1,42.0,0.0051,1.19,XGBoost,7.1
txt:capital,1,45.0,0.005,1.33,XGBoost,7.1
txt:forward,1,46.0,0.0052,0.69,XGBoost,7.1
txt:accident,1,47.0,0.005,1.11,XGBoost,7.1
txt:software,1,48.0,0.0037,7.71,XGBoost,7.1
txt:pay smaller,1,49.0,0.0049,1.64,XGBoost,7.1
txt:metro,1,50.0,0.0049,2.09,XGBoost,7.1
txt:new company,1,51.0,0.0051,1.54,XGBoost,7.1
txt:assistance,1,52.0,0.0051,0.95,XGBoost,7.1
txt:engineer,1,53.0,0.0036,8.94,XGBoost,7.1
txt:office,1,54.0,0.0049,1.11,XGBoost,7.1
txt:getting better,1,55.0,0.0051,1.78,XGBoost,7.1
txt:forest,1,56.0,0.0041,3.32,XGBoost,7.1
txt:money used,1,57.0,0.005,1.67,XGBoost,7.1
txt:control,1,59.0,0.0049,0.73,XGBoost,7.1
txt:having payment,1,59.0,0.0048,2.28,XGBoost,7.1
txt:really,1,60.0,0.0048,1.4,XGBoost,7.1
txt:dream,1,61.0,0.0048,0.72,XGBoost,7.1
txt:planning using,1,62.0,0.0048,2.59,XGBoost,7.1
txt:wonderful,1,62.0,0.0048,1.07,XGBoost,7.1
txt:helpful,1,63.0,0.0047,1.91,XGBoost,7.1
txt:mart,1,66.0,0.0048,1.76,XGBoost,7.1
txt:credit checked,1,67.0,0.0047,1.95,XGBoost,7.1
txt:gift,1,67.0,0.0047,1.14,XGBoost,7.1
txt:faster,1,70.0,0.0043,2.73,XGBoost,7.1
txt:nov,1,70.0,0.0046,1.62,XGBoost,7.1
txt:electronics,1,71.0,0.0046,3.11,XGBoost,7.1
txt:fully funded,1,71.0,0.0047,1.52,XGBoost,7.1
txt:prince,1,72.0,0.0042,2.83,XGBoost,7.1
txt:purchasing,1,72.0,0.0047,0.73,XGBoost,7.1
txt:visit,1,72.0,0.0048,1.62,XGBoost,7.1
txt:communication,1,73.0,0.0045,2.33,XGBoost,7.1
txt:working company,1,73.0,0.0047,1.48,XGBoost,7.1
txt:institute,1,76.0,0.0047,1.69,XGBoost,7.1
txt:summer,1,76.0,0.0046,1.27,XGBoost,7.1
txt:department,1,77.0,0.0046,0.85,XGBoost,7.1
txt:horizon,1,77.0,0.0044,2.59,XGBoost,7.1
txt:help debt,1,79.0,0.0044,1.46,XGBoost,7.1
txt:roof,1,79.0,0.0045,2.42,XGBoost,7.1
txt:timely manner,1,79.0,0.0046,0.74,XGBoost,7.1
txt:idea,1,80.0,0.0046,0.75,XGBoost,7.1
txt:architect,1,82.0,0.0033,7.68,XGBoost,7.1
txt:home debt,1,82.0,0.0045,2.73,XGBoost,7.1
txt:healthcare,1,83.0,0.0045,1.05,XGBoost,7.1
txt:somewhat,1,83.0,0.0045,1.24,XGBoost,7.1
txt:laborer,1,84.0,0.0032,13.85,XGBoost,7.1
txt:montgomery,1,85.0,0.0037,3.34,XGBoost,7.1
txt:available,1,86.0,0.0045,0.91,XGBoost,7.1
txt:seeking refinance,1,86.0,0.0044,1.71,XGBoost,7.1
txt:concept,1,88.0,0.0043,1.7,XGBoost,7.1
txt:fiance,1,88.0,0.0045,0.76,XGBoost,7.1
txt:bigger,1,89.0,0.0043,1.55,XGBoost,7.1
txt:debt monthly,1,90.0,0.0045,2.1,XGBoost,7.1
txt:fund plan,1,90.0,0.0043,1.26,XGBoost,7.1
txt:young college,1,90.0,0.0044,2.32,XGBoost,7.1
txt:america,1,92.0,0.0044,1.08,XGBoost,7.1
txt:rate consolidation,1,93.0,0.0041,2.57,XGBoost,7.1
txt:network,1,94.0,0.0042,1.19,XGBoost,7.1
txt:international,1,95.0,0.0043,0.96,XGBoost,7.1
txt:coming,1,98.0,0.0043,0.85,XGBoost,7.1
txt:sandy,1,98.0,0.0041,3.31,XGBoost,7.1
txt:microsoft,1,99.0,0.0043,2.84,XGBoost,7.1
txt:craft,1,101.0,0.0034,3.7,XGBoost,7.1
txt:requested pay,1,101.0,0.0042,1.7,XGBoost,7.1
txt:card feel,1,102.0,0.0043,1.51,XGBoost,7.1
txt:greatful,1,103.0,0.0034,4.19,XGBoost,7.1
txt:long history,1,103.0,0.0043,1.08,XGBoost,7.1
txt:california,1,104.0,0.0042,1.33,XGBoost,7.1
txt:revolving debt,1,106.0,0.0042,0.72,XGBoost,7.1
txt:talking,1,107.0,0.0041,1.49,XGBoost,7.1
txt:card missed,1,108.0,0.0041,0.96,XGBoost,7.1
txt:target,1,108.0,0.0041,1.85,XGBoost,7.1
txt:local,1,109.0,0.0041,1.09,XGBoost,7.1
txt:giving,1,110.0,0.0041,0.82,XGBoost,7.1
txt:pay rent,1,111.0,0.0042,2.13,XGBoost,7.1
txt:copy,1,112.0,0.0042,1.41,XGBoost,7.1
txt:internet,1,112.0,0.0041,1.0,XGBoost,7.1
txt:expansion,1,113.0,0.0041,2.95,XGBoost,7.1
txt:payoff,1,113.0,0.0042,1.2,XGBoost,7.1
txt:improvement,1,114.0,0.0041,0.96,XGBoost,7.1
txt:consolidation home,1,118.0,0.0033,3.34,XGBoost,7.1
txt:mom,1,118.0,0.0041,1.74,XGBoost,7.1
txt:new home,1,119.0,0.0041,0.93,XGBoost,7.1
txt:credit bank,1,120.0,0.0039,2.67,XGBoost,7.1
txt:high rate,1,122.0,0.0029,3.98,XGBoost,7.1
txt:improvement debt,1,122.0,0.0031,3.39,XGBoost,7.1
txt:wedding new,1,122.0,0.004,0.75,XGBoost,7.1
txt:patch,1,124.0,0.0039,1.92,XGBoost,7.1
txt:city county,1,125.0,0.0033,3.27,XGBoost,7.1
txt:porch,1,126.0,0.004,1.31,XGBoost,7.1
txt:senior,1,126.0,0.0033,3.72,XGBoost,7.1
txt:payment soon,1,128.0,0.0038,2.0,XGBoost,7.1
txt:credit payoff,1,130.0,0.0038,2.69,XGBoost,7.1
txt:work job,1,130.0,0.0039,1.66,XGBoost,7.1
txt:moment,1,131.0,0.0039,0.89,XGBoost,7.1
txt:superior,1,133.0,0.0039,1.29,XGBoost,7.1
txt:invested,1,134.0,0.0039,0.72,XGBoost,7.1
txt:visa card,1,134.0,0.0039,1.57,XGBoost,7.1
txt:berkeley,1,135.0,0.0032,3.58,XGBoost,7.1
txt:macys,1,137.0,0.0038,1.17,XGBoost,7.1
txt:director,1,138.0,0.0028,5.53,XGBoost,7.1
txt:deb,1,139.0,0.0037,1.74,XGBoost,7.1
txt:mold,1,139.0,0.0038,0.82,XGBoost,7.1
txt:chrysler jeep,1,140.0,0.0036,2.65,XGBoost,7.1
txt:september,1,140.0,0.0038,1.18,XGBoost,7.1
txt:dental work,1,141.0,0.0038,2.25,XGBoost,7.1
txt:custodian,1,142.0,0.0027,9.17,XGBoost,7.1
txt:cumberland,1,144.0,0.0037,2.05,XGBoost,7.1
txt:soon possible,1,144.0,0.0037,0.8,XGBoost,7.1
txt:sky,1,145.0,0.0037,2.14,XGBoost,7.1
txt:going,1,146.0,0.0037,0.68,XGBoost,7.1
txt:consolidation higher,1,148.0,0.0035,3.82,XGBoost,7.1
txt:credit account,1,148.0,0.0037,0.72,XGBoost,7.1
txt:university health,1,148.0,0.0035,2.42,XGBoost,7.1
txt:work place,1,148.0,0.0038,1.63,XGBoost,7.1
txt:documentation,1,151.0,0.0037,1.18,XGBoost,7.1
txt:geico,1,151.0,0.0038,2.67,XGBoost,7.1
txt:paid month,1,151.0,0.0037,1.34,XGBoost,7.1
txt:card wife,1,153.0,0.0037,0.79,XGBoost,7.1
txt:moving relocation,1,153.0,0.0031,2.92,XGBoost,7.1
txt:hotel,1,154.0,0.0036,0.89,XGBoost,7.1
txt:worry,1,156.0,0.0036,1.09,XGBoost,7.1
txt:money bank,1,157.0,0.0037,0.9,XGBoost,7.1
txt:organic,1,157.0,0.0036,2.24,XGBoost,7.1
txt:deduction,1,158.0,0.0036,1.18,XGBoost,7.1
txt:homeland,1,158.0,0.0036,1.26,XGBoost,7.1
txt:attorney,1,159.0,0.0036,0.93,XGBoost,7.1
txt:auto,1,160.0,0.0036,0.81,XGBoost,7.1
txt:wanting consolidate,1,160.0,0.0036,3.08,XGBoost,7.1
txt:office coordinator,1,161.0,0.0026,7.89,XGBoost,7.1
txt:monterey,1,163.0,0.0035,4.49,XGBoost,7.1
txt:colorado,1,165.0,0.0035,1.52,XGBoost,7.1
txt:home repair,1,165.0,0.0035,2.63,XGBoost,7.1
txt:pay late,1,165.0,0.0036,0.93,XGBoost,7.1
